Date,Likes,Comments,Shares
"16/05/19, 20:59",2113.0,48.0,42.0
"16/05/19, 16:40",659.0,83.0,38.0
"16/05/19, 14:21",962.0,77.0,23.0
"16/05/19, 09:57",926.0,86.0,38.0
"15/05/19, 16:10",2018.0,359.0,49.0
"15/05/19, 14:40",1223.0,20.0,33.0
"15/05/19, 12:28",650.0,49.0,28.0
"14/05/19, 21:41",748.0,17.0,14.0
"14/05/19, 16:02",306.0,20.0,10.0
"14/05/19, 14:43",484.0,52.0,9.0
"14/05/19, 12:59",2082.0,47.0,45.0
"14/05/19, 11:41",912.0,80.0,22.0
"13/05/19, 20:42",1428.0,33.0,33.0
"12/05/19, 15:09",4324.0,167.0,39.0
"11/05/19, 15:40",9458.0,490.0,27.0
"10/05/19, 20:31",959.0,318.0,65.0
"09/05/19, 17:25",709.0,0.0,10.0
"09/05/19, 14:21",3432.0,548.0,26.0
"09/05/19, 12:34",688.0,19.0,19.0
"07/05/19, 17:31",1039.0,93.0,31.0
"07/05/19, 16:14",1460.0,34.0,30.0
"07/05/19, 14:21",2500.0,106.0,82.0
"07/05/19, 11:32",880.0,2.0,8.0
"06/05/19, 19:59",28903,1453.0,145.0
"06/05/19, 14:51",431.0,46.0,17.0
"06/05/19, 14:21",1088.0,183.0,61.0
"06/05/19, 10:46",2904.0,462.0,57.0
"05/05/19, 20:11",1689.0,36.0,20.0
"05/05/19, 13:53",1113.0,34.0,32.0
"04/05/19, 18:59",932.0,12.0,29.0
"03/05/19, 18:24",3954.0,473.0,462.0
"03/05/19, 12:53",636.0,5.0,13.0
"03/05/19, 12:20",912.0,152.0,25.0
"02/05/19, 20:31",337.0,15.0,7.0
"02/05/19, 15:17",1047.0,99.0,20.0
"02/05/19, 12:25",804.0,30.0,60.0
"01/05/19, 12:48",1251.0,96.0,33.0
"30/04/19, 19:09",601.0,8.0,24.0
"30/04/19, 16:19",1928.0,196.0,63.0
"30/04/19, 13:44",1439.0,118.0,34.0
"30/04/19, 12:34",590.0,7.0,5.0
"28/04/19, 22:49",418.0,16.0,12.0
"28/04/19, 18:58",965.0,106.0,16.0
"27/04/19, 20:57",826.0,18.0,22.0
